V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.15;1.01;1.11;0.44;0.28;0.51;0.63;0.42;0.66;1.01;0.81;1.00
0.91;0.88;0.89;0.49;0.35;0.52;0.59;0.46;0.62;0.83;0.74;0.82
0.92;0.91;0.93;0.45;0.36;0.55;0.56;0.48;0.66;0.83;0.78;0.86
0.99;0.98;0.99;0.49;0.39;0.60;0.64;0.53;0.72;0.89;0.84;0.93
1.16;1.01;1.13;0.36;0.20;0.46;0.69;0.43;0.75;1.05;0.81;1.04
0.92;0.88;0.89;0.40;0.26;0.45;0.62;0.46;0.67;0.85;0.74;0.84
0.82;0.81;0.83;0.29;0.22;0.42;0.50;0.39;0.62;0.74;0.66;0.78
0.99;0.99;0.99;0.38;0.29;0.51;0.66;0.53;0.77;0.91;0.83;0.94
1.20;1.01;1.13;0.50;0.27;0.60;0.70;0.41;0.78;1.07;0.83;1.06
0.92;0.88;0.89;0.52;0.36;0.57;0.63;0.45;0.68;0.87;0.75;0.85
0.76;0.73;0.76;0.34;0.24;0.48;0.45;0.31;0.56;0.69;0.59;0.71
0.99;0.99;0.99;0.51;0.38;0.65;0.66;0.50;0.78;0.93;0.84;0.95
