V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.12;0.91;1.08;0.45;0.18;0.38;0.50;0.21;0.44;0.81;0.51;0.82
0.94;0.82;0.90;0.44;0.19;0.38;0.46;0.23;0.43;0.72;0.50;0.72
0.93;0.83;0.93;0.43;0.18;0.37;0.45;0.21;0.42;0.70;0.48;0.73
0.97;0.95;0.97;0.41;0.19;0.38;0.43;0.24;0.44;0.70;0.55;0.77
1.11;0.92;1.09;0.24;0.07;0.23;0.43;0.16;0.43;0.76;0.46;0.84
0.94;0.83;0.90;0.24;0.10;0.24;0.41;0.19;0.41;0.66;0.45;0.71
1.04;0.68;0.86;0.23;0.07;0.22;0.43;0.14;0.37;0.73;0.33;0.66
0.98;0.97;0.99;0.22;0.10;0.24;0.39;0.21;0.44;0.66;0.51;0.77
1.10;0.93;1.09;0.38;0.10;0.32;0.40;0.16;0.42;0.80;0.51;0.89
0.92;0.84;0.90;0.38;0.14;0.33;0.39;0.19;0.39;0.70;0.50;0.75
1.15;0.59;0.81;0.39;0.08;0.28;0.41;0.10;0.33;0.84;0.31;0.66
0.98;0.98;0.99;0.36;0.15;0.35;0.36;0.21;0.43;0.71;0.55;0.82
