V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
0.93;0.68;0.84;0.09;0.20;0.40;0.16;0.34;0.52;0.45;0.49;0.67
0.94;0.90;0.91;0.27;0.40;0.53;0.38;0.56;0.66;0.62;0.78;0.82
0.96;0.94;0.95;0.14;0.36;0.52;0.27;0.56;0.68;0.60;0.82;0.86
0.99;0.99;0.99;0.42;0.56;0.71;0.62;0.78;0.88;0.79;0.92;0.96
0.94;0.68;0.82;0.06;0.25;0.41;0.12;0.39;0.50;0.41;0.50;0.64
0.95;0.90;0.91;0.29;0.44;0.56;0.35;0.57;0.66;0.56;0.79;0.82
0.97;0.94;0.95;0.13;0.41;0.57;0.22;0.58;0.69;0.53;0.83;0.86
0.99;0.99;1.00;0.51;0.66;0.82;0.66;0.82;0.92;0.83;0.95;0.98
0.97;0.70;0.82;0.05;0.28;0.40;0.13;0.46;0.51;0.40;0.52;0.64
0.95;0.90;0.91;0.26;0.44;0.56;0.38;0.61;0.67;0.54;0.80;0.82
0.97;0.94;0.95;0.12;0.41;0.57;0.23;0.63;0.71;0.51;0.84;0.87
1.00;0.99;1.00;0.53;0.68;0.84;0.78;0.89;0.96;0.86;0.96;0.99
