V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
0.90;0.70;0.82;0.08;0.22;0.36;0.15;0.37;0.48;0.40;0.46;0.61
0.95;0.90;0.91;0.27;0.37;0.50;0.40;0.53;0.63;0.58;0.75;0.80
0.97;0.94;0.95;0.13;0.32;0.49;0.26;0.53;0.66;0.56;0.79;0.84
0.99;0.99;0.99;0.44;0.57;0.73;0.67;0.80;0.91;0.80;0.92;0.97
0.94;0.72;0.81;0.06;0.28;0.37;0.12;0.47;0.48;0.40;0.49;0.60
0.95;0.91;0.91;0.27;0.39;0.52;0.37;0.56;0.64;0.57;0.77;0.81
0.97;0.94;0.94;0.11;0.36;0.53;0.22;0.56;0.67;0.55;0.82;0.85
1.00;0.99;1.00;0.51;0.64;0.82;0.73;0.85;0.94;0.86;0.96;0.98
0.95;0.72;0.81;0.04;0.31;0.36;0.10;0.51;0.47;0.34;0.49;0.59
0.95;0.91;0.91;0.25;0.40;0.52;0.34;0.56;0.64;0.53;0.77;0.80
0.97;0.94;0.94;0.09;0.35;0.53;0.19;0.57;0.67;0.48;0.81;0.85
1.00;1.00;1.00;0.49;0.65;0.82;0.75;0.87;0.96;0.87;0.96;0.99
