V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.05;1.05;1.12;0.11;0.68;0.66;0.22;0.82;0.81;0.44;1.00;1.02
0.94;0.98;0.98;0.24;0.66;0.65;0.36;0.79;0.77;0.47;0.92;0.91
0.96;0.98;0.99;0.12;0.59;0.59;0.22;0.77;0.76;0.42;0.91;0.91
0.94;0.96;0.97;0.35;0.66;0.68;0.61;0.81;0.83;0.71;0.91;0.92
1.05;1.10;1.14;0.07;0.71;0.68;0.16;0.92;0.88;0.41;1.05;1.05
0.94;0.99;0.99;0.22;0.66;0.65;0.31;0.84;0.81;0.45;0.96;0.94
0.96;0.99;0.99;0.08;0.61;0.60;0.17;0.83;0.80;0.40;0.95;0.94
0.94;0.97;0.98;0.38;0.67;0.69;0.68;0.88;0.89;0.80;0.95;0.96
1.07;1.07;1.12;0.05;0.67;0.66;0.14;0.92;0.88;0.32;1.07;1.07
0.95;1.00;0.99;0.21;0.66;0.65;0.30;0.85;0.81;0.39;0.96;0.95
0.96;0.99;0.99;0.07;0.62;0.62;0.15;0.84;0.81;0.33;0.96;0.95
0.95;0.99;0.99;0.40;0.68;0.71;0.70;0.89;0.90;0.79;0.96;0.97
