V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.06;0.69;0.86;0.08;0.10;0.38;0.15;0.21;0.55;0.35;0.37;0.68
0.94;0.90;0.91;0.22;0.27;0.43;0.31;0.41;0.59;0.39;0.65;0.77
0.95;0.94;0.95;0.08;0.16;0.37;0.15;0.34;0.57;0.31;0.68;0.80
0.99;0.99;0.99;0.29;0.36;0.53;0.52;0.62;0.79;0.62;0.82;0.92
1.01;0.72;0.84;0.05;0.14;0.37;0.11;0.31;0.52;0.31;0.44;0.64
0.94;0.90;0.91;0.23;0.29;0.45;0.29;0.44;0.60;0.39;0.72;0.79
0.96;0.94;0.95;0.07;0.21;0.42;0.12;0.41;0.61;0.30;0.76;0.83
0.99;0.99;1.00;0.35;0.44;0.64;0.56;0.69;0.86;0.72;0.90;0.96
0.96;0.73;0.83;0.04;0.17;0.34;0.09;0.37;0.50;0.24;0.45;0.62
0.93;0.90;0.91;0.22;0.29;0.44;0.29;0.46;0.60;0.37;0.72;0.79
0.95;0.94;0.94;0.05;0.21;0.41;0.11;0.44;0.62;0.26;0.76;0.83
0.99;0.99;1.00;0.33;0.42;0.63;0.61;0.73;0.89;0.73;0.91;0.97
