V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
0.92;0.73;0.80;0.08;0.33;0.37;0.16;0.45;0.46;0.49;0.51;0.58
0.95;0.91;0.91;0.31;0.45;0.55;0.42;0.58;0.64;0.67;0.78;0.80
0.97;0.94;0.95;0.20;0.44;0.57;0.33;0.60;0.68;0.68;0.83;0.85
0.99;0.99;1.00;0.56;0.71;0.84;0.73;0.85;0.93;0.87;0.95;0.98
0.96;0.73;0.80;0.07;0.38;0.38;0.13;0.53;0.47;0.45;0.51;0.58
0.95;0.91;0.91;0.30;0.47;0.56;0.38;0.60;0.65;0.62;0.79;0.81
0.97;0.94;0.94;0.17;0.46;0.59;0.27;0.62;0.69;0.61;0.84;0.85
1.00;0.99;1.00;0.65;0.77;0.90;0.78;0.89;0.96;0.91;0.97;0.99
0.95;0.72;0.80;0.06;0.41;0.38;0.12;0.57;0.46;0.38;0.51;0.57
0.95;0.91;0.91;0.28;0.48;0.56;0.37;0.61;0.64;0.54;0.78;0.80
0.97;0.94;0.95;0.14;0.46;0.59;0.23;0.63;0.69;0.51;0.83;0.85
1.00;1.00;1.00;0.64;0.78;0.91;0.81;0.91;0.97;0.88;0.97;0.99
