V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.11;1.04;1.10;0.16;0.72;0.70;0.32;0.83;0.82;0.67;0.95;0.99
0.94;0.94;0.94;0.32;0.70;0.68;0.48;0.81;0.79;0.67;0.90;0.89
0.96;0.96;0.96;0.21;0.67;0.67;0.39;0.83;0.81;0.66;0.92;0.91
0.95;0.95;0.96;0.49;0.74;0.77;0.73;0.89;0.90;0.84;0.93;0.94
1.15;1.04;1.10;0.11;0.77;0.75;0.27;0.91;0.88;0.70;1.01;1.02
0.95;0.95;0.94;0.28;0.71;0.70;0.44;0.84;0.80;0.65;0.91;0.90
0.97;0.97;0.97;0.15;0.70;0.70;0.32;0.86;0.82;0.66;0.93;0.92
0.96;0.96;0.97;0.52;0.78;0.81;0.80;0.93;0.94;0.88;0.95;0.96
1.15;1.01;1.08;0.09;0.79;0.76;0.24;0.87;0.85;0.59;1.01;1.02
0.95;0.94;0.94;0.26;0.73;0.71;0.41;0.82;0.80;0.58;0.92;0.90
0.97;0.96;0.96;0.13;0.72;0.71;0.29;0.85;0.82;0.56;0.94;0.93
0.96;0.96;0.97;0.54;0.80;0.83;0.78;0.90;0.92;0.89;0.95;0.96
