V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.07;0.66;0.91;0.08;0.19;0.42;0.15;0.30;0.58;0.38;0.47;0.76
0.94;0.89;0.92;0.21;0.29;0.45;0.31;0.43;0.61;0.44;0.68;0.79
0.96;0.93;0.95;0.09;0.21;0.40;0.15;0.37;0.59;0.35;0.71;0.82
0.98;0.98;0.99;0.28;0.35;0.52;0.46;0.58;0.75;0.62;0.82;0.91
0.99;0.67;0.86;0.06;0.14;0.41;0.11;0.24;0.53;0.30;0.43;0.70
0.93;0.89;0.91;0.23;0.31;0.48;0.27;0.44;0.60;0.38;0.72;0.81
0.95;0.93;0.95;0.08;0.24;0.45;0.12;0.41;0.60;0.30;0.76;0.84
0.99;0.99;0.99;0.37;0.45;0.64;0.49;0.63;0.80;0.66;0.88;0.95
0.98;0.70;0.85;0.05;0.14;0.40;0.11;0.32;0.55;0.27;0.47;0.68
0.94;0.90;0.91;0.22;0.32;0.48;0.30;0.51;0.64;0.37;0.75;0.81
0.95;0.94;0.95;0.06;0.25;0.46;0.12;0.50;0.66;0.28;0.79;0.85
0.99;0.99;0.99;0.38;0.48;0.68;0.62;0.77;0.90;0.71;0.91;0.97
