V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
0.92;0.72;0.80;0.11;0.31;0.41;0.20;0.45;0.50;0.57;0.54;0.62
0.94;0.91;0.91;0.34;0.51;0.60;0.43;0.64;0.69;0.73;0.81;0.83
0.96;0.94;0.95;0.23;0.51;0.62;0.36;0.66;0.73;0.74;0.86;0.87
0.99;0.99;0.99;0.58;0.73;0.85;0.73;0.86;0.93;0.90;0.96;0.98
0.96;0.70;0.80;0.09;0.36;0.41;0.16;0.47;0.49;0.49;0.53;0.62
0.95;0.91;0.91;0.35;0.53;0.60;0.40;0.63;0.68;0.65;0.81;0.83
0.97;0.94;0.95;0.20;0.52;0.64;0.28;0.65;0.72;0.64;0.85;0.87
1.00;0.99;1.00;0.66;0.78;0.90;0.76;0.88;0.95;0.89;0.97;0.99
0.96;0.71;0.80;0.08;0.38;0.41;0.15;0.52;0.49;0.45;0.55;0.62
0.95;0.91;0.91;0.31;0.52;0.60;0.38;0.65;0.68;0.59;0.81;0.82
0.97;0.94;0.95;0.17;0.52;0.64;0.26;0.68;0.73;0.57;0.86;0.87
1.00;0.99;1.00;0.67;0.81;0.92;0.83;0.92;0.97;0.88;0.97;0.99
