V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.05;0.80;1.00;0.34;0.12;0.28;0.37;0.14;0.32;0.70;0.41;0.72
0.91;0.84;0.90;0.42;0.27;0.41;0.45;0.27;0.42;0.66;0.53;0.71
0.85;0.84;0.91;0.31;0.15;0.30;0.32;0.17;0.34;0.59;0.47;0.69
0.96;0.95;0.97;0.35;0.22;0.37;0.37;0.24;0.40;0.65;0.55;0.75
1.06;0.83;1.02;0.31;0.09;0.29;0.49;0.18;0.46;0.80;0.49;0.82
0.92;0.86;0.90;0.38;0.24;0.39;0.52;0.33;0.53;0.76;0.60;0.79
0.86;0.72;0.85;0.29;0.11;0.30;0.43;0.19;0.43;0.68;0.44;0.70
0.98;0.97;0.99;0.32;0.21;0.38;0.47;0.33;0.55;0.77;0.66;0.85
1.06;0.86;1.02;0.25;0.06;0.20;0.53;0.21;0.51;0.79;0.48;0.83
0.92;0.87;0.90;0.35;0.19;0.31;0.56;0.39;0.58;0.75;0.60;0.78
0.90;0.65;0.79;0.23;0.06;0.19;0.48;0.18;0.43;0.68;0.36;0.64
0.99;0.98;0.99;0.26;0.15;0.28;0.54;0.40;0.63;0.75;0.62;0.85
