V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.10;0.95;1.05;0.22;0.12;0.27;0.34;0.20;0.39;0.86;0.63;0.86
0.93;0.88;0.89;0.48;0.36;0.47;0.52;0.41;0.54;0.80;0.69;0.80
0.91;0.90;0.92;0.26;0.23;0.35;0.35;0.31;0.46;0.73;0.68;0.81
0.98;0.97;0.98;0.37;0.31;0.45;0.48;0.40;0.56;0.83;0.76;0.89
1.21;0.98;1.08;0.29;0.16;0.37;0.56;0.32;0.61;0.96;0.68;0.94
0.94;0.88;0.90;0.46;0.36;0.50;0.63;0.49;0.66;0.85;0.73;0.84
0.82;0.80;0.84;0.25;0.22;0.39;0.42;0.34;0.56;0.68;0.60;0.76
0.99;0.98;0.99;0.41;0.35;0.53;0.62;0.52;0.73;0.87;0.79;0.93
1.20;0.99;1.09;0.26;0.12;0.32;0.63;0.35;0.67;0.99;0.67;0.97
0.94;0.88;0.90;0.40;0.29;0.42;0.68;0.54;0.71;0.84;0.71;0.84
0.76;0.72;0.77;0.19;0.14;0.29;0.42;0.31;0.54;0.63;0.51;0.69
0.99;0.99;0.99;0.34;0.26;0.43;0.68;0.57;0.79;0.88;0.77;0.93
