V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.16;0.96;1.05;0.36;0.22;0.40;0.55;0.34;0.55;0.97;0.75;0.92
0.92;0.89;0.90;0.62;0.47;0.59;0.73;0.55;0.67;0.86;0.78;0.84
0.91;0.91;0.92;0.42;0.38;0.53;0.55;0.47;0.63;0.82;0.79;0.87
0.98;0.98;0.99;0.56;0.50;0.66;0.71;0.60;0.75;0.91;0.87;0.94
1.17;0.98;1.08;0.48;0.28;0.53;0.73;0.46;0.74;1.04;0.79;0.98
0.94;0.89;0.90;0.60;0.48;0.64;0.75;0.60;0.75;0.88;0.80;0.86
0.83;0.81;0.84;0.42;0.36;0.56;0.57;0.48;0.68;0.74;0.69;0.80
0.99;0.99;0.99;0.61;0.53;0.73;0.79;0.68;0.86;0.94;0.89;0.96
1.19;0.99;1.08;0.53;0.28;0.57;0.79;0.48;0.78;1.07;0.79;1.00
0.94;0.89;0.90;0.65;0.49;0.66;0.78;0.63;0.78;0.90;0.79;0.87
0.76;0.74;0.77;0.39;0.30;0.52;0.53;0.42;0.63;0.71;0.60;0.73
0.99;0.99;0.99;0.64;0.54;0.74;0.82;0.71;0.88;0.95;0.88;0.96
