V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.16;1.08;1.16;0.13;0.72;0.70;0.22;0.88;0.86;0.50;1.00;1.05
0.96;1.03;1.02;0.13;0.68;0.66;0.24;0.83;0.79;0.43;0.95;0.93
0.97;1.01;1.00;0.13;0.64;0.62;0.20;0.79;0.76;0.43;0.93;0.92
0.96;1.01;1.00;0.25;0.69;0.68;0.46;0.84;0.84;0.65;0.95;0.95
1.15;1.08;1.16;0.06;0.62;0.61;0.17;0.89;0.88;0.37;1.01;1.06
0.97;1.03;1.02;0.07;0.58;0.56;0.19;0.83;0.79;0.34;0.96;0.94
0.97;1.01;1.01;0.07;0.55;0.54;0.16;0.80;0.78;0.33;0.94;0.93
0.96;1.02;1.01;0.22;0.60;0.61;0.55;0.86;0.87;0.63;0.94;0.95
1.13;1.05;1.14;0.06;0.70;0.69;0.15;0.94;0.93;0.39;1.01;1.08
0.95;1.02;1.01;0.07;0.66;0.63;0.17;0.86;0.82;0.36;0.96;0.95
0.96;1.00;1.00;0.06;0.63;0.61;0.13;0.83;0.80;0.34;0.95;0.94
0.95;1.00;0.99;0.30;0.69;0.70;0.57;0.88;0.90;0.77;0.95;0.96
