V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.16;1.07;1.16;0.16;0.77;0.76;0.32;0.92;0.91;0.76;1.02;1.07
0.93;0.96;0.95;0.18;0.68;0.66;0.33;0.81;0.77;0.62;0.90;0.89
0.96;0.97;0.97;0.16;0.68;0.67;0.32;0.82;0.79;0.65;0.92;0.91
0.96;0.98;0.98;0.34;0.72;0.75;0.57;0.86;0.87;0.80;0.94;0.95
1.15;1.05;1.14;0.09;0.69;0.71;0.28;0.95;0.94;0.64;1.02;1.07
0.94;0.96;0.95;0.12;0.62;0.61;0.28;0.82;0.77;0.53;0.92;0.90
0.96;0.97;0.97;0.10;0.63;0.63;0.27;0.84;0.80;0.55;0.93;0.92
0.97;0.99;0.98;0.33;0.67;0.71;0.67;0.90;0.91;0.79;0.96;0.96
1.16;1.04;1.14;0.09;0.76;0.76;0.24;0.95;0.94;0.67;0.99;1.07
0.94;0.95;0.94;0.13;0.70;0.67;0.25;0.83;0.78;0.56;0.90;0.89
0.96;0.97;0.96;0.10;0.71;0.69;0.24;0.85;0.81;0.57;0.93;0.92
0.96;0.97;0.97;0.40;0.77;0.79;0.69;0.91;0.92;0.88;0.94;0.95
