V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.05;0.85;0.99;0.13;0.35;0.51;0.24;0.49;0.61;0.69;0.67;0.80
0.92;0.89;0.90;0.20;0.40;0.53;0.32;0.55;0.63;0.68;0.78;0.80
0.95;0.93;0.94;0.20;0.45;0.58;0.33;0.60;0.68;0.71;0.83;0.85
0.99;0.99;0.99;0.47;0.65;0.81;0.64;0.81;0.91;0.88;0.95;0.98
1.08;0.84;0.99;0.11;0.37;0.50;0.19;0.52;0.61;0.62;0.67;0.79
0.94;0.89;0.90;0.18;0.40;0.54;0.27;0.56;0.63;0.60;0.78;0.80
0.96;0.93;0.94;0.17;0.45;0.59;0.27;0.61;0.68;0.64;0.83;0.85
1.00;0.99;1.00;0.52;0.70;0.87;0.67;0.85;0.94;0.87;0.97;0.98
1.08;0.85;0.99;0.02;0.16;0.29;0.18;0.57;0.61;0.52;0.66;0.79
0.93;0.89;0.90;0.06;0.18;0.33;0.26;0.58;0.63;0.51;0.77;0.80
0.96;0.93;0.94;0.04;0.18;0.35;0.24;0.63;0.69;0.54;0.82;0.85
1.00;0.99;1.00;0.16;0.31;0.54;0.72;0.88;0.96;0.81;0.96;0.98
