V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.06;0.78;0.96;0.09;0.13;0.44;0.20;0.27;0.66;0.38;0.42;0.76
0.92;0.88;0.90;0.11;0.14;0.39;0.21;0.29;0.59;0.34;0.56;0.74
0.94;0.92;0.94;0.09;0.14;0.39;0.18;0.28;0.59;0.31;0.60;0.78
0.99;0.99;0.99;0.23;0.28;0.49;0.43;0.55;0.77;0.53;0.76;0.90
1.01;0.78;0.95;0.08;0.12;0.47;0.12;0.22;0.58;0.31;0.47;0.75
0.92;0.88;0.90;0.10;0.16;0.44;0.16;0.28;0.55;0.29;0.63;0.76
0.94;0.93;0.94;0.08;0.16;0.44;0.12;0.29;0.57;0.26;0.68;0.81
0.99;0.99;1.00;0.30;0.38;0.63;0.42;0.56;0.79;0.60;0.84;0.95
1.00;0.77;0.94;0.05;0.12;0.41;0.11;0.29;0.58;0.24;0.48;0.73
0.92;0.89;0.90;0.07;0.15;0.40;0.17;0.34;0.58;0.23;0.63;0.76
0.94;0.93;0.94;0.06;0.15;0.41;0.11;0.35;0.60;0.21;0.68;0.81
0.99;0.99;1.00;0.29;0.36;0.63;0.51;0.65;0.87;0.58;0.84;0.96
