V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.06;0.82;1.02;0.12;0.27;0.51;0.22;0.42;0.64;0.58;0.63;0.84
0.93;0.88;0.90;0.14;0.30;0.49;0.28;0.48;0.63;0.57;0.74;0.80
0.95;0.92;0.94;0.13;0.32;0.52;0.25;0.52;0.67;0.60;0.80;0.85
0.99;0.98;0.99;0.33;0.49;0.69;0.57;0.75;0.88;0.78;0.92;0.97
1.07;0.82;1.00;0.08;0.24;0.49;0.15;0.41;0.61;0.51;0.63;0.82
0.93;0.88;0.90;0.11;0.29;0.49;0.22;0.48;0.61;0.52;0.76;0.80
0.95;0.93;0.94;0.10;0.32;0.53;0.20;0.52;0.66;0.54;0.81;0.85
0.99;0.99;1.00;0.37;0.55;0.77;0.56;0.77;0.90;0.79;0.95;0.98
1.07;0.83;1.00;0.01;0.07;0.19;0.16;0.49;0.63;0.40;0.62;0.80
0.94;0.89;0.90;0.04;0.10;0.21;0.23;0.53;0.63;0.41;0.74;0.79
0.96;0.93;0.94;0.02;0.09;0.22;0.20;0.58;0.68;0.43;0.79;0.84
1.00;0.99;1.00;0.09;0.16;0.33;0.67;0.85;0.95;0.69;0.93;0.98
