V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.07;0.74;0.98;0.10;0.24;0.51;0.20;0.40;0.69;0.45;0.59;0.84
0.93;0.86;0.91;0.11;0.24;0.46;0.22;0.38;0.62;0.40;0.63;0.79
0.95;0.91;0.94;0.10;0.23;0.45;0.18;0.37;0.62;0.37;0.68;0.82
0.98;0.97;0.99;0.22;0.29;0.51;0.43;0.56;0.75;0.59;0.83;0.92
1.02;0.74;0.96;0.07;0.17;0.46;0.13;0.29;0.61;0.36;0.51;0.81
0.92;0.87;0.91;0.08;0.18;0.43;0.15;0.32;0.58;0.34;0.68;0.80
0.94;0.92;0.94;0.07;0.18;0.43;0.13;0.34;0.60;0.31;0.74;0.84
0.99;0.99;0.99;0.25;0.33;0.57;0.41;0.57;0.79;0.63;0.89;0.96
1.01;0.75;0.95;0.01;0.03;0.13;0.14;0.31;0.64;0.26;0.49;0.78
0.92;0.88;0.90;0.03;0.05;0.13;0.18;0.39;0.63;0.25;0.65;0.78
0.94;0.92;0.94;0.01;0.04;0.13;0.13;0.43;0.65;0.23;0.70;0.82
0.99;0.99;0.99;0.06;0.08;0.18;0.54;0.71;0.89;0.54;0.84;0.94
