V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.05;0.86;1.01;0.10;0.19;0.43;0.20;0.38;0.59;0.47;0.58;0.77
0.93;0.89;0.90;0.13;0.23;0.43;0.25;0.42;0.59;0.50;0.69;0.77
0.95;0.93;0.94;0.11;0.25;0.46;0.23;0.46;0.63;0.52;0.74;0.82
0.99;0.99;0.99;0.34;0.47;0.68;0.57;0.73;0.89;0.71;0.89;0.96
1.06;0.86;1.00;0.08;0.29;0.46;0.13;0.44;0.56;0.41;0.59;0.76
0.92;0.89;0.90;0.12;0.27;0.47;0.21;0.42;0.58;0.45;0.71;0.77
0.95;0.93;0.94;0.10;0.30;0.51;0.17;0.46;0.62;0.46;0.77;0.82
1.00;0.99;1.00;0.43;0.57;0.81;0.57;0.75;0.91;0.75;0.92;0.98
1.06;0.86;1.00;0.06;0.30;0.44;0.13;0.53;0.57;0.36;0.61;0.76
0.94;0.89;0.90;0.10;0.26;0.46;0.22;0.46;0.59;0.37;0.71;0.77
0.96;0.93;0.94;0.08;0.28;0.50;0.17;0.50;0.64;0.38;0.77;0.82
1.00;1.00;1.00;0.42;0.56;0.82;0.66;0.81;0.95;0.73;0.93;0.98
