V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1.15;0.99;1.09;0.25;0.74;0.75;0.43;0.86;0.86;0.90;0.91;0.99
0.93;0.91;0.91;0.27;0.69;0.66;0.39;0.78;0.74;0.74;0.87;0.85
0.96;0.94;0.95;0.27;0.73;0.70;0.41;0.82;0.78;0.77;0.90;0.89
0.97;0.95;0.96;0.51;0.80;0.83;0.67;0.89;0.90;0.89;0.94;0.95
1.14;0.95;1.07;0.17;0.69;0.72;0.36;0.85;0.86;0.81;0.90;0.99
0.93;0.91;0.91;0.19;0.66;0.64;0.35;0.79;0.74;0.67;0.87;0.85
0.96;0.94;0.94;0.18;0.70;0.68;0.36;0.83;0.79;0.71;0.90;0.89
0.97;0.95;0.96;0.49;0.77;0.81;0.77;0.92;0.93;0.89;0.94;0.96
1.15;0.95;1.07;0.15;0.74;0.75;0.31;0.82;0.85;0.80;0.89;0.99
0.93;0.91;0.91;0.18;0.71;0.67;0.33;0.78;0.74;0.67;0.86;0.85
0.96;0.94;0.94;0.17;0.75;0.71;0.32;0.83;0.79;0.70;0.90;0.90
0.97;0.95;0.96;0.55;0.82;0.85;0.78;0.91;0.93;0.93;0.93;0.95
